 condition,type,lib,day
SRR11617503,no_spic,no spics,SRR11617503,"Set I, day 1"
SRR11617504,no_spic,no spics,SRR11617504,"Set II, day 1"
SRR11617505,no_spic,no spics,SRR11617505,"Set I, day 2"
SRR11617506,no_spic,no spics,SRR11617506,"Set II, day 2"
SRR11617507,spic,primmorphs with spicules (diacts),SRR11617507,"Set I, day 3-4"
SRR11617508,spic,primmorphs with spicules (diacts),SRR11617508,"Set II, day 3-4"
SRR11617513,spic,Ciliated chambers ,SRR11617513,"Set I, day 6-8"
SRR11617514,spic,Ciliated chambers ,SRR11617514,"Set II, day 6-8"
SRR11617519,spic,"Choanoderm,  expanding spongocoel, pinacoderm",SRR11617519,"Set I, day 10-14"
SRR11617520,spic,"Choanoderm,  expanding spongocoel, pinacoderm",SRR11617520,"Set II, day 10-14"
SRR11617523,spic,"Osculum opens, Porocytes form ostia",SRR11617523,"Set I, day 16-18"
SRR11617524,spic,"Osculum opens, Porocytes form ostia",SRR11617524,"Set II, day 16-18"
SRR11617526,spic,Juvenile,SRR11617526,"Set I, day 21 -24"
SRR11617527,spic,Juvenile,SRR11617527,"Set II, day 21 -24"
SRR11617528,spic,Adult,SRR11617528,"diss_cells, day 0"
